index,x,y,z,yaw,pitch,roll
1,-235.0671,168.2031,25.0,-0.6210885,0.08627617,0.0
2,-70.160774,101.569565,25.0,-1.2740904,0.19198622,0.0
3,-203.42438,-18.362364,25.0,0.09002232,0.121792436,0.0
4,-176.77667,-184.94324,25.0,0.80797136,0.097408175,0.0
5,-1.8652734,-183.27992,25.0,1.5606196,0.1355598,0.0
6,-3.53102,-50.015564,25.0,2.1642082,0.4712389,0.0
7,163.04703,-26.692453,25.0,-2.565634,0.15707964,0.0
8,221.34239,168.20259,25.0,-2.4917727,0.08968651,0.0
9,106.4083,101.57008,25.0,-2.3794534,0.16834092,0.0
10,193.03522,-159.95546,25.0,2.443461,0.40142572,0.0
